sound1,round1,high1,low1,front1,back1,tense1,sound2,P2i1,orP2i1,diffP2i1,round2,high2,low2,front2,back2,tense2,full1,full2
o,+,-,-,-,+,+,œ,0.00313479623824451,0.02008928571428571,-0.0169544894760412,+,-,-,+,-,-,RhlfBT,RhlFbt
o,+,-,-,-,+,+,ɒ,0.01253918495297805,0.02232142857142857,-0.00978224361845051,+,-,+,-,+,-,RhlfBT,RhLfBt
o,+,-,-,-,+,+,ɐ,0.01253918495297805,0.015625,-0.00308581504702194,+,-,+,-,-,-,RhlfBT,RhLfbt
o,+,-,-,-,+,+,ʌ,0.03761755485893417,0.05357142857142857,-0.01595387371249439,-,-,-,-,+,-,RhlfBT,rhlfBt
u,+,+,-,-,+,+,a,0.8916256157635468,0.9439655172413792,-0.05233990147783252,-,-,+,-,-,-,RHlfBT,rhLfbt
u,+,+,-,-,+,+,e,0.6280788177339901,0.8879310344827587,-0.25985221674876857,-,-,-,+,-,+,RHlfBT,rhlFbT
u,+,+,-,-,+,+,i,0.9458128078817734,1,-0.05418719211822664,-,+,-,+,-,+,RHlfBT,rHlFbT
u,+,+,-,-,+,+,o,0.6403940886699507,0.8900862068965517,-0.24969211822660095,+,-,-,-,+,+,RHlfBT,RhlfBT
u,+,+,-,-,+,+,ə,0.14532019704433496,0.25,-0.10467980295566504,-,-,-,-,-,-,RHlfBT,rhlfbt
u,+,+,-,-,+,+,y,0.02216748768472906,0.05172413793103448,-0.02955665024630541,+,+,-,+,-,+,RHlfBT,RHlFbT
u,+,+,-,-,+,+,ɑ,0.05911330049261083,0.07327586206896551,-0.01416256157635467,-,-,+,-,+,-,RHlfBT,rhLfBt
u,+,+,-,-,+,+,ɤ,0.01724137931034482,0.03879310344827586,-0.02155172413793103,-,-,-,-,+,+,RHlfBT,rhlfBT
u,+,+,-,-,+,+,æ,0.0665024630541872,0.08405172413793104,-0.01754926108374384,-,-,+,+,-,-,RHlfBT,rhLFbt
u,+,+,-,-,+,+,ɛ,0.4433497536945813,0.5431034482758621,-0.0997536945812808,-,-,-,+,-,-,RHlfBT,rhlFbt
u,+,+,-,-,+,+,ɪ,0.14285714285714285,0.14655172413793102,-0.00369458128078817,-,+,-,+,-,-,RHlfBT,rHlFbt
u,+,+,-,-,+,+,ʊ,0.1354679802955665,0.1336206896551724,0.0018472906403941,+,+,-,-,+,-,RHlfBT,RHlfBt
u,+,+,-,-,+,+,ɔ,0.4482758620689655,0.5280172413793104,-0.07974137931034486,+,-,-,-,+,-,RHlfBT,RhlfBt
u,+,+,-,-,+,+,ɯ,0.0541871921182266,0.0668103448275862,-0.01262315270935959,-,+,-,-,+,+,RHlfBT,rHlfBT
u,+,+,-,-,+,+,ɨ,0.2019704433497537,0.2521551724137931,-0.05018472906403939,-,+,-,-,-,+,RHlfBT,rHlfbT
u,+,+,-,-,+,+,ø,0.00985221674876847,0.03017241379310345,-0.02032019704433498,+,-,-,+,-,+,RHlfBT,RhlFbT
u,+,+,-,-,+,+,œ,0.00246305418719211,0.01939655172413793,-0.01693349753694581,+,-,-,+,-,-,RHlfBT,RhlFbt
u,+,+,-,-,+,+,ɒ,0.00492610837438423,0.01939655172413793,-0.01447044334975369,+,-,+,-,+,-,RHlfBT,RhLfBt
u,+,+,-,-,+,+,ɐ,0.00985221674876847,0.01508620689655172,-0.00523399014778325,+,-,+,-,-,-,RHlfBT,RhLfbt
u,+,+,-,-,+,+,ʌ,0.04433497536945813,0.05603448275862069,-0.01169950738916256,-,-,-,-,+,-,RHlfBT,rhlfBt
y,+,+,-,+,-,+,a,0.9090909090909092,0.96,-0.0509090909090909,-,-,+,-,-,-,RHlFbT,rhLfbt
y,+,+,-,+,-,+,e,0.6363636363636364,0.8,-0.1636363636363637,-,-,-,+,-,+,RHlFbT,rhlFbT
y,+,+,-,+,-,+,i,0.8181818181818182,0.96,-0.14181818181818173,-,+,-,+,-,+,RHlFbT,rHlFbT
y,+,+,-,+,-,+,o,0.7272727272727273,0.92,-0.19272727272727275,+,-,-,-,+,+,RHlFbT,RhlfBT
y,+,+,-,+,-,+,u,0.8181818181818182,0.96,-0.14181818181818173,+,+,-,-,+,+,RHlFbT,RHlfBT
y,+,+,-,+,-,+,ə,0,0.4,-0.4,-,-,-,-,-,-,RHlFbT,rhlfbt
y,+,+,-,+,-,+,ɑ,0.18181818181818185,0.24,-0.05818181818181817,-,-,+,-,+,-,RHlFbT,rhLfBt
y,+,+,-,+,-,+,ɤ,0,0.04,-0.04,-,-,-,-,+,+,RHlFbT,rhlfBT
y,+,+,-,+,-,+,æ,0.2727272727272727,0.2,0.0727272727272727,-,-,+,+,-,-,RHlFbT,rhLFbt
y,+,+,-,+,-,+,ɛ,0.4545454545454546,0.6,-0.14545454545454545,-,-,-,+,-,-,RHlFbT,rhlFbt
y,+,+,-,+,-,+,ɪ,0.09090909090909093,0.12,-0.02909090909090908,-,+,-,+,-,-,RHlFbT,rHlFbt
y,+,+,-,+,-,+,ʊ,0,0.04,-0.04,+,+,-,-,+,-,RHlFbT,RHlfBt
y,+,+,-,+,-,+,ɔ,0.2727272727272727,0.44,-0.1672727272727273,+,-,-,-,+,-,RHlFbT,RhlfBt
y,+,+,-,+,-,+,ɯ,0.09090909090909093,0.12,-0.02909090909090908,-,+,-,-,+,+,RHlFbT,rHlfBT
y,+,+,-,+,-,+,ɨ,0,0.16,-0.16,-,+,-,-,-,+,RHlFbT,rHlfbT
y,+,+,-,+,-,+,ø,0.3636363636363637,0.44,-0.07636363636363636,+,-,-,+,-,+,RHlFbT,RhlFbT
y,+,+,-,+,-,+,œ,0.09090909090909093,0.28,-0.18909090909090912,+,-,-,+,-,-,RHlFbT,RhlFbt
